word,offset,length
菜头,25951,4
多样,25955,3
愚弄,25958,10
玩具店,25968,4
娿,25972,6
进求,25978,3
CillianMurphy,25981,13
载熙,25994,3
Val,25997,6
GL,26003,58
Antonio,26061,10
EdO,26071,3
Nash,26074,3
流沙,26077,3
LionsGate,26080,9
OkadaMasaki,26089,4
构建,26093,3
顶一下,26096,4
binWilliams,26100,3
评价,26103,46
侦破,26149,16
Judie,26165,3
击中,26168,3
吉布森,26171,16
小东,26187,4
IMDB51,26191,47
wolfgang,26238,6
充好,26244,4
WKTJH,26248,4
夫子,26252,4
EthanCohn,26256,4
ego,26260,40
ShunjiLwai,26300,9
Judelaw,26309,6
佛心,26315,4
只取,26319,9
口味,26328,230
動,26558,9
Abidine,26567,3
Netherland,26570,6
文津,26576,7
Tim,26583,55
消解,26638,3
断箭,26641,3
罪性,26644,4
Diaries,26648,8
Rossum,26656,6
PY,26662,4
cut,26666,8
GLBTQ,26674,20
完想,26694,3
进式,26697,4
200607,26701,5
src,26706,8
精神分析,26714,91
肥猫,26805,6
小细眼,26811,3
ACE,26814,72
导和演,26886,9
CliffCurtis,26895,9
倫理片,26904,15
墓,26919,6
adultswim,26925,3
剑鱼,26928,3
西班牢,26931,3
FH,26934,30
拼圖,26964,3
minghella,26967,3
蔡秋鳳,26970,3
纳,26973,41
艺,27014,51
泉源,27065,3
柴崎幸,27068,16
贩卖人口,27084,4
德特,27088,3
stiller,27091,3
动物,27094,223
反光,27317,3
极,27320,36
羞羞答答,27356,4
兔,27360,9
约,27369,160
lesliecheung,27529,12
政,27541,11
情愿,27552,5
纸老虎,27557,12
俞钟,27569,3
日后,27572,4
古旧,27576,3
屆,27579,20
孤獨,27599,12
人际关系,27611,11
风,27622,132
现象学,27754,3
运作,27757,3
AndyWachowsk,27760,5
老爷车,27765,9
scofield,27774,3
教学片,27777,32
三包,27809,12
GAYGAYGAYGAYGAY,27821,4
萨莉,27825,10
歐健兒,27835,3
zac,27838,9
experimantal,27847,3
莲蓬头,27850,3
courage,27853,28
闯关,27881,4
亲切,27885,10
20003,27895,3
鲍伯,27898,3
Coffin,27901,4
贾哥,27905,4
乔沃维其,27909,3
想当年,27912,23
mystery,27935,86
辣,28021,6
飘忽,28027,5
大猩猩,28032,3
MonicaBellucci,28035,13
王璐丹,28048,4
江湖梦,28052,7
OAD,28059,4
Pop,28063,12
WENDERS,28075,3
Delicatessen,28078,3
姨娘,28081,16
卢贝松,28097,3
东海,28100,3
GaryMarshall,28103,5
荐片,28108,3
圣杯,28111,3
恬妞,28114,13
李说,28127,3
骗子,28130,40
打折,28170,23
晦涩,28193,50
Cage,28243,37
Palace,28280,3
LarsVonTrier,28283,8
MysticRiver,28291,3
AnnaKendrick,28294,13
安杰丽娜,28307,3
社会变迁,28310,13
Pinon,28323,5
alan,28328,19
瓢,28347,3
小儿,28350,5
遠行,28355,8
122,28363,3
手持,28366,11
隐形,28377,10
Neal1962,28387,3
RICHE,28390,4
斯特曼,28394,3
硬生生,28397,5
streep,28402,16
休伊特,28418,9
Five,28427,4
Zak,28431,6
EyesWideshot,28437,3
Fabuleux,28440,3
颜丹晨,28443,3
吼,28446,3
一女不事二夫,28449,3
梦醒,28452,8
义洋,28460,3
苏妲己,28463,4
JohnHawkes,28467,3
袭击,28470,3
MovieItaly,28473,7
影评人,28480,4
Mantovani,28484,3
真實,28487,90
密斯,28577,575
Christina,29152,9
美杜莎,29161,4
Miller,29165,43
ｆ,29208,3
三亚,29211,4
修改,29215,4
尊诺,29219,3
深景,29222,3
leos,29225,3
卖弄,29228,16
休斯,29244,15
之小仙,29259,5
噢,29264,50
赌徒,29314,3
雕塑,29317,3
KirsteDunst,29320,3
唐,29323,34
年关,29357,3
Cendrowski,29360,4
好找,29364,4
成虫,29368,4
JeremyPiven,29372,3
二十有余,29375,4
谷祖琳,29379,20
大嘴巴,29399,5
肓,29404,8
Morris,29412,6
柯素,29418,3
BandOfBrothers,29421,3
七人,29424,3
明朗,29427,4
情报,29431,32
吴君如,29463,52
JohnSharian,29515,3
JamesMcAvovy,29518,3
Fadyen,29521,3
恶烂,29524,3
张雨琦,29527,4
主人,29531,3
累字,29534,8
禁片,29542,119
Eigenberg,29661,3
邓捷,29664,3
MattBerry,29667,4
새,29671,3
wyj,29674,5
Mostow,29679,3
爱情故事,29682,194
车祸,29876,7
gibson,29883,3
胸怀,29886,7
LeonardoDcCaprio,29893,4
犄角,29897,42
beachboys,29939,3
打错,29942,3
我泪点,29945,13
安瓦,29958,4
3s,29962,4
雲溫,29966,7
Hotel,29973,3
克林特,29976,13
萧芳芳,29989,7
Laurie,29996,11
熬夜,30007,3
ECT,30010,3
王怡,30013,9
这书,30022,4
柯受良,30026,10
梦幻岛,30036,3
喝,30039,16
Janpan,30055,13
暗夜德,30068,3
拉片,30071,36
Thelma,30107,5
刘罗锅,30112,4
以点,30116,4
老湿,30120,4
能片,30124,3
首诗,30127,3
坏话,30130,10
AmyAdams,30140,9
TARZAN,30149,3
Million,30152,3
事后,30155,58
MichaelCaine,30213,16
outweighs,30229,3
多来咪,30232,3
MelissaGeorge,30235,4
这么回事,30239,4
HP7,30243,3
Waiting,30246,3
Walker,30249,7
碟书,30256,13
香梦,30269,8
